sep=,
"Portugal","14.2","","","","","14.2","14.2","14.2","","","","14.7","","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Korea","3.2","","","","","","","","","3.2","","","2.4","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","8.6","","","","","","","","","","8.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ruanda-Urundi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Kitts and Nevis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Lucia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Vincent and the Grenadines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint-Kitts-Nevis-Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sarawak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","35.6","","","","","","","","","","35.6","35.6","35.6","35.6","35.6","35.6","20.9","22.1","21.6","21.6","21.6","21.6","21.6","21.6","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegambia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia and Montenegro","17.4","","","","","","","","","","17.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","25.1","","","","","","25.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Singapore","6.9","","","","","","6.9","","","","","","","","","","","","5.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","14.3","","","","","","","","14.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","15.0","","","","","","","","","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","21.6","","","","","","","","","","","","21.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Vietnam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","15.6","","","15.6","15.6","","","13.3","","12.8","","","","11.0","12.1","12.1","","","","","","23.7","","8.2","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","12.0","12.0","","","","","","","","9.2","9.2","8.1","8.1","7.0","7.0","","","","","","","5.4","5.4","","","","","","","5.1","5.1","","","","","","","","","","","","","","","","",""
"Switzerland","8.2","","","8.2","","","","","7.7","","4.9","","","6.9","","","","5.3","5.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thailand","7.8","","","","","","","7.8","","","","","","6.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","25.1","","","","","","","","","","","25.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tokelau","63.4","","","63.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tonga","56.0","","","","","","","","","","56.0","56.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trust Territories of the Pacific Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunisia","17.2","","","","","","","","","","","","","17.2","17.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","16.1","","","16.1","","","","","","","","","","22.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkmenistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turks and Caicos Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Union of Soviet Socialist Republics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Emirates","33.7","","","","","","","","","","33.7","33.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","22.7","","","","","","","","22.7","22.1","22.1","24.2","","11.0","","","","","","","","12.3","","","","","","","6.7","","","","","","","","","","2.8","","","","","","1.7","","",""
"United States of America","33.9","","","","33.9","33.9","32.2","13.5","24.5","21.9","30.7","19.7","18.3","16.6","16.8","22.0","22.7","13.7","12.6","12.6","11.6","22.7","22.7","","","","","","","","14.7","14.7","14.7","14.7","14.7","","14.4","14.4","14.4","14.4","","","","","","13.5","13.5","13.5"
